id,STATISTIC Label,TLIST(A1),Year,C03151V03803,Type of dwelling,C03440V04149,Energy rating,UNIT,VALUE
DBERNG01,Mean Gas Consumption,2015,2015,01,Apartment,13,A - B,Mean kilowatt hours,6954
DBERNG01,Mean Gas Consumption,2015,2015,01,Apartment,07,C,Mean kilowatt hours,7635
DBERNG01,Mean Gas Consumption,2015,2015,01,Apartment,08,D,Mean kilowatt hours,7846
DBERNG01,Mean Gas Consumption,2015,2015,01,Apartment,09,E,Mean kilowatt hours,8029
DBERNG01,Mean Gas Consumption,2015,2015,01,Apartment,10,F- G,Mean kilowatt hours,8353
DBERNG01,Mean Gas Consumption,2015,2015,01,Apartment,-,All BER ratings,Mean kilowatt hours,7481
DBERNG01,Mean Gas Consumption,2015,2015,11,Mid-terrace house,13,A - B,Mean kilowatt hours,8756
DBERNG01,Mean Gas Consumption,2015,2015,11,Mid-terrace house,07,C,Mean kilowatt hours,8715
DBERNG01,Mean Gas Consumption,2015,2015,11,Mid-terrace house,08,D,Mean kilowatt hours,9389
DBERNG01,Mean Gas Consumption,2015,2015,11,Mid-terrace house,09,E,Mean kilowatt hours,9699
DBERNG01,Mean Gas Consumption,2015,2015,11,Mid-terrace house,10,F- G,Mean kilowatt hours,8937
DBERNG01,Mean Gas Consumption,2015,2015,11,Mid-terrace house,-,All BER ratings,Mean kilowatt hours,8984
DBERNG01,Mean Gas Consumption,2015,2015,10,End of terrace house,13,A - B,Mean kilowatt hours,10323
DBERNG01,Mean Gas Consumption,2015,2015,10,End of terrace house,07,C,Mean kilowatt hours,9735
DBERNG01,Mean Gas Consumption,2015,2015,10,End of terrace house,08,D,Mean kilowatt hours,10074
DBERNG01,Mean Gas Consumption,2015,2015,10,End of terrace house,09,E,Mean kilowatt hours,10554
DBERNG01,Mean Gas Consumption,2015,2015,10,End of terrace house,10,F- G,Mean kilowatt hours,10064
DBERNG01,Mean Gas Consumption,2015,2015,10,End of terrace house,-,All BER ratings,Mean kilowatt hours,9987
DBERNG01,Mean Gas Consumption,2015,2015,09,Semi-detached house,13,A - B,Mean kilowatt hours,11472
DBERNG01,Mean Gas Consumption,2015,2015,09,Semi-detached house,07,C,Mean kilowatt hours,11072
DBERNG01,Mean Gas Consumption,2015,2015,09,Semi-detached house,08,D,Mean kilowatt hours,11588
DBERNG01,Mean Gas Consumption,2015,2015,09,Semi-detached house,09,E,Mean kilowatt hours,12860
DBERNG01,Mean Gas Consumption,2015,2015,09,Semi-detached house,10,F- G,Mean kilowatt hours,12438
DBERNG01,Mean Gas Consumption,2015,2015,09,Semi-detached house,-,All BER ratings,Mean kilowatt hours,11456
DBERNG01,Mean Gas Consumption,2015,2015,08,Detached house,13,A - B,Mean kilowatt hours,16953
DBERNG01,Mean Gas Consumption,2015,2015,08,Detached house,07,C,Mean kilowatt hours,15583
DBERNG01,Mean Gas Consumption,2015,2015,08,Detached house,08,D,Mean kilowatt hours,14865
DBERNG01,Mean Gas Consumption,2015,2015,08,Detached house,09,E,Mean kilowatt hours,16446
DBERNG01,Mean Gas Consumption,2015,2015,08,Detached house,10,F- G,Mean kilowatt hours,15452
DBERNG01,Mean Gas Consumption,2015,2015,08,Detached house,-,All BER ratings,Mean kilowatt hours,15763
DBERNG01,Mean Gas Consumption,2015,2015,-,All dwellings,13,A - B,Mean kilowatt hours,11170
DBERNG01,Mean Gas Consumption,2015,2015,-,All dwellings,07,C,Mean kilowatt hours,10776
DBERNG01,Mean Gas Consumption,2015,2015,-,All dwellings,08,D,Mean kilowatt hours,11112
DBERNG01,Mean Gas Consumption,2015,2015,-,All dwellings,09,E,Mean kilowatt hours,11736
DBERNG01,Mean Gas Consumption,2015,2015,-,All dwellings,10,F- G,Mean kilowatt hours,10973
DBERNG01,Mean Gas Consumption,2015,2015,-,All dwellings,-,All BER ratings,Mean kilowatt hours,
DBERNG01,Mean Gas Consumption,2016,2016,01,Apartment,13,A - B,Mean kilowatt hours,8031
DBERNG01,Mean Gas Consumption,2016,2016,01,Apartment,07,C,Mean kilowatt hours,8474
DBERNG01,Mean Gas Consumption,2016,2016,01,Apartment,08,D,Mean kilowatt hours,8220
DBERNG01,Mean Gas Consumption,2016,2016,01,Apartment,09,E,Mean kilowatt hours,8423
DBERNG01,Mean Gas Consumption,2016,2016,01,Apartment,10,F- G,Mean kilowatt hours,8856
DBERNG01,Mean Gas Consumption,2016,2016,01,Apartment,-,All BER ratings,Mean kilowatt hours,8351
DBERNG01,Mean Gas Consumption,2016,2016,11,Mid-terrace house,13,A - B,Mean kilowatt hours,8617
DBERNG01,Mean Gas Consumption,2016,2016,11,Mid-terrace house,07,C,Mean kilowatt hours,8566
DBERNG01,Mean Gas Consumption,2016,2016,11,Mid-terrace house,08,D,Mean kilowatt hours,9245
DBERNG01,Mean Gas Consumption,2016,2016,11,Mid-terrace house,09,E,Mean kilowatt hours,9565
DBERNG01,Mean Gas Consumption,2016,2016,11,Mid-terrace house,10,F- G,Mean kilowatt hours,8822
DBERNG01,Mean Gas Consumption,2016,2016,11,Mid-terrace house,-,All BER ratings,Mean kilowatt hours,8842
DBERNG01,Mean Gas Consumption,2016,2016,10,End of terrace house,13,A - B,Mean kilowatt hours,10191
DBERNG01,Mean Gas Consumption,2016,2016,10,End of terrace house,07,C,Mean kilowatt hours,9648
DBERNG01,Mean Gas Consumption,2016,2016,10,End of terrace house,08,D,Mean kilowatt hours,9929
DBERNG01,Mean Gas Consumption,2016,2016,10,End of terrace house,09,E,Mean kilowatt hours,10346
DBERNG01,Mean Gas Consumption,2016,2016,10,End of terrace house,10,F- G,Mean kilowatt hours,10021
DBERNG01,Mean Gas Consumption,2016,2016,10,End of terrace house,-,All BER ratings,Mean kilowatt hours,9873
DBERNG01,Mean Gas Consumption,2016,2016,09,Semi-detached house,13,A - B,Mean kilowatt hours,11152
DBERNG01,Mean Gas Consumption,2016,2016,09,Semi-detached house,07,C,Mean kilowatt hours,10797
DBERNG01,Mean Gas Consumption,2016,2016,09,Semi-detached house,08,D,Mean kilowatt hours,11379
DBERNG01,Mean Gas Consumption,2016,2016,09,Semi-detached house,09,E,Mean kilowatt hours,12665
DBERNG01,Mean Gas Consumption,2016,2016,09,Semi-detached house,10,F- G,Mean kilowatt hours,12168
DBERNG01,Mean Gas Consumption,2016,2016,09,Semi-detached house,-,All BER ratings,Mean kilowatt hours,11199
DBERNG01,Mean Gas Consumption,2016,2016,08,Detached house,13,A - B,Mean kilowatt hours,16663
DBERNG01,Mean Gas Consumption,2016,2016,08,Detached house,07,C,Mean kilowatt hours,15214
DBERNG01,Mean Gas Consumption,2016,2016,08,Detached house,08,D,Mean kilowatt hours,14609
DBERNG01,Mean Gas Consumption,2016,2016,08,Detached house,09,E,Mean kilowatt hours,16085
DBERNG01,Mean Gas Consumption,2016,2016,08,Detached house,10,F- G,Mean kilowatt hours,15086
DBERNG01,Mean Gas Consumption,2016,2016,08,Detached house,-,All BER ratings,Mean kilowatt hours,15434
DBERNG01,Mean Gas Consumption,2016,2016,-,All dwellings,13,A - B,Mean kilowatt hours,11255
DBERNG01,Mean Gas Consumption,2016,2016,-,All dwellings,07,C,Mean kilowatt hours,10653
DBERNG01,Mean Gas Consumption,2016,2016,-,All dwellings,08,D,Mean kilowatt hours,10957
DBERNG01,Mean Gas Consumption,2016,2016,-,All dwellings,09,E,Mean kilowatt hours,11556
DBERNG01,Mean Gas Consumption,2016,2016,-,All dwellings,10,F- G,Mean kilowatt hours,10805
DBERNG01,Mean Gas Consumption,2016,2016,-,All dwellings,-,All BER ratings,Mean kilowatt hours,
DBERNG01,Mean Gas Consumption,2017,2017,01,Apartment,13,A - B,Mean kilowatt hours,8023
DBERNG01,Mean Gas Consumption,2017,2017,01,Apartment,07,C,Mean kilowatt hours,8195
DBERNG01,Mean Gas Consumption,2017,2017,01,Apartment,08,D,Mean kilowatt hours,8190
DBERNG01,Mean Gas Consumption,2017,2017,01,Apartment,09,E,Mean kilowatt hours,8488
DBERNG01,Mean Gas Consumption,2017,2017,01,Apartment,10,F- G,Mean kilowatt hours,8584
DBERNG01,Mean Gas Consumption,2017,2017,01,Apartment,-,All BER ratings,Mean kilowatt hours,8194
DBERNG01,Mean Gas Consumption,2017,2017,11,Mid-terrace house,13,A - B,Mean kilowatt hours,8359
DBERNG01,Mean Gas Consumption,2017,2017,11,Mid-terrace house,07,C,Mean kilowatt hours,8326
DBERNG01,Mean Gas Consumption,2017,2017,11,Mid-terrace house,08,D,Mean kilowatt hours,8970
DBERNG01,Mean Gas Consumption,2017,2017,11,Mid-terrace house,09,E,Mean kilowatt hours,9283
DBERNG01,Mean Gas Consumption,2017,2017,11,Mid-terrace house,10,F- G,Mean kilowatt hours,8574
DBERNG01,Mean Gas Consumption,2017,2017,11,Mid-terrace house,-,All BER ratings,Mean kilowatt hours,8587
DBERNG01,Mean Gas Consumption,2017,2017,10,End of terrace house,13,A - B,Mean kilowatt hours,9903
DBERNG01,Mean Gas Consumption,2017,2017,10,End of terrace house,07,C,Mean kilowatt hours,9371
DBERNG01,Mean Gas Consumption,2017,2017,10,End of terrace house,08,D,Mean kilowatt hours,9787
DBERNG01,Mean Gas Consumption,2017,2017,10,End of terrace house,09,E,Mean kilowatt hours,10212
DBERNG01,Mean Gas Consumption,2017,2017,10,End of terrace house,10,F- G,Mean kilowatt hours,9797
DBERNG01,Mean Gas Consumption,2017,2017,10,End of terrace house,-,All BER ratings,Mean kilowatt hours,9647
DBERNG01,Mean Gas Consumption,2017,2017,09,Semi-detached house,13,A - B,Mean kilowatt hours,10883
DBERNG01,Mean Gas Consumption,2017,2017,09,Semi-detached house,07,C,Mean kilowatt hours,10603
DBERNG01,Mean Gas Consumption,2017,2017,09,Semi-detached house,08,D,Mean kilowatt hours,11216
DBERNG01,Mean Gas Consumption,2017,2017,09,Semi-detached house,09,E,Mean kilowatt hours,12293
DBERNG01,Mean Gas Consumption,2017,2017,09,Semi-detached house,10,F- G,Mean kilowatt hours,11935
DBERNG01,Mean Gas Consumption,2017,2017,09,Semi-detached house,-,All BER ratings,Mean kilowatt hours,10988
DBERNG01,Mean Gas Consumption,2017,2017,08,Detached house,13,A - B,Mean kilowatt hours,16249
DBERNG01,Mean Gas Consumption,2017,2017,08,Detached house,07,C,Mean kilowatt hours,14818
DBERNG01,Mean Gas Consumption,2017,2017,08,Detached house,08,D,Mean kilowatt hours,14420
DBERNG01,Mean Gas Consumption,2017,2017,08,Detached house,09,E,Mean kilowatt hours,15636
DBERNG01,Mean Gas Consumption,2017,2017,08,Detached house,10,F- G,Mean kilowatt hours,14883
DBERNG01,Mean Gas Consumption,2017,2017,08,Detached house,-,All BER ratings,Mean kilowatt hours,15078
DBERNG01,Mean Gas Consumption,2017,2017,-,All dwellings,13,A - B,Mean kilowatt hours,10963
DBERNG01,Mean Gas Consumption,2017,2017,-,All dwellings,07,C,Mean kilowatt hours,10403
DBERNG01,Mean Gas Consumption,2017,2017,-,All dwellings,08,D,Mean kilowatt hours,10766
DBERNG01,Mean Gas Consumption,2017,2017,-,All dwellings,09,E,Mean kilowatt hours,11252
DBERNG01,Mean Gas Consumption,2017,2017,-,All dwellings,10,F- G,Mean kilowatt hours,10564
DBERNG01,Mean Gas Consumption,2017,2017,-,All dwellings,-,All BER ratings,Mean kilowatt hours,
DBERNG01,Mean Gas Consumption,2018,2018,01,Apartment,13,A - B,Mean kilowatt hours,9004
DBERNG01,Mean Gas Consumption,2018,2018,01,Apartment,07,C,Mean kilowatt hours,9132
DBERNG01,Mean Gas Consumption,2018,2018,01,Apartment,08,D,Mean kilowatt hours,8748
DBERNG01,Mean Gas Consumption,2018,2018,01,Apartment,09,E,Mean kilowatt hours,9154
DBERNG01,Mean Gas Consumption,2018,2018,01,Apartment,10,F- G,Mean kilowatt hours,9244
DBERNG01,Mean Gas Consumption,2018,2018,01,Apartment,-,All BER ratings,Mean kilowatt hours,9044
DBERNG01,Mean Gas Consumption,2018,2018,11,Mid-terrace house,13,A - B,Mean kilowatt hours,9377
DBERNG01,Mean Gas Consumption,2018,2018,11,Mid-terrace house,07,C,Mean kilowatt hours,9236
DBERNG01,Mean Gas Consumption,2018,2018,11,Mid-terrace house,08,D,Mean kilowatt hours,9902
DBERNG01,Mean Gas Consumption,2018,2018,11,Mid-terrace house,09,E,Mean kilowatt hours,10259
DBERNG01,Mean Gas Consumption,2018,2018,11,Mid-terrace house,10,F- G,Mean kilowatt hours,9513
DBERNG01,Mean Gas Consumption,2018,2018,11,Mid-terrace house,-,All BER ratings,Mean kilowatt hours,9526
DBERNG01,Mean Gas Consumption,2018,2018,10,End of terrace house,13,A - B,Mean kilowatt hours,11024
DBERNG01,Mean Gas Consumption,2018,2018,10,End of terrace house,07,C,Mean kilowatt hours,10346
DBERNG01,Mean Gas Consumption,2018,2018,10,End of terrace house,08,D,Mean kilowatt hours,10663
DBERNG01,Mean Gas Consumption,2018,2018,10,End of terrace house,09,E,Mean kilowatt hours,11082
DBERNG01,Mean Gas Consumption,2018,2018,10,End of terrace house,10,F- G,Mean kilowatt hours,10733
DBERNG01,Mean Gas Consumption,2018,2018,10,End of terrace house,-,All BER ratings,Mean kilowatt hours,10598
DBERNG01,Mean Gas Consumption,2018,2018,09,Semi-detached house,13,A - B,Mean kilowatt hours,12280
DBERNG01,Mean Gas Consumption,2018,2018,09,Semi-detached house,07,C,Mean kilowatt hours,11943
DBERNG01,Mean Gas Consumption,2018,2018,09,Semi-detached house,08,D,Mean kilowatt hours,12494
DBERNG01,Mean Gas Consumption,2018,2018,09,Semi-detached house,09,E,Mean kilowatt hours,13556
DBERNG01,Mean Gas Consumption,2018,2018,09,Semi-detached house,10,F- G,Mean kilowatt hours,13218
DBERNG01,Mean Gas Consumption,2018,2018,09,Semi-detached house,-,All BER ratings,Mean kilowatt hours,12308
DBERNG01,Mean Gas Consumption,2018,2018,08,Detached house,13,A - B,Mean kilowatt hours,18245
DBERNG01,Mean Gas Consumption,2018,2018,08,Detached house,07,C,Mean kilowatt hours,16788
DBERNG01,Mean Gas Consumption,2018,2018,08,Detached house,08,D,Mean kilowatt hours,15987
DBERNG01,Mean Gas Consumption,2018,2018,08,Detached house,09,E,Mean kilowatt hours,17082
DBERNG01,Mean Gas Consumption,2018,2018,08,Detached house,10,F- G,Mean kilowatt hours,16209
DBERNG01,Mean Gas Consumption,2018,2018,08,Detached house,-,All BER ratings,Mean kilowatt hours,16922
DBERNG01,Mean Gas Consumption,2018,2018,-,All dwellings,13,A - B,Mean kilowatt hours,12323
DBERNG01,Mean Gas Consumption,2018,2018,-,All dwellings,07,C,Mean kilowatt hours,11668
DBERNG01,Mean Gas Consumption,2018,2018,-,All dwellings,08,D,Mean kilowatt hours,11919
DBERNG01,Mean Gas Consumption,2018,2018,-,All dwellings,09,E,Mean kilowatt hours,12368
DBERNG01,Mean Gas Consumption,2018,2018,-,All dwellings,10,F- G,Mean kilowatt hours,11658
